Demand_node,Full_name,MWD_region,Imports,GW,Reuse,Local Surface
IOU_GS_BBG,Golden State Water Co. - Bell-Bell Gardens,Central Basin MWD,500,4500,140,0
IOU_GS_CC,Golden State Water Co. - Culver City,West Basin MWD,10000,500,0,0
IOU_GS_CLA,Golden State Water Co. - Claremont,Three Valleys MWD,6500,7800,0,0
IOU_GS_FG,Golden State Water Co. - Florence-Graham,Central Basin MWD,1000,5000,0,0
IOU_GS_NOR,Golden State Water Co. - Norwalk,Central Basin MWD,2500,5000,200,0
IOU_GS_SAR,Golden State Water Co. - South Arcadia,USG MWD,0,4000,0,0
IOU_GS_SD,Golden State Water Co. - San Dimas,Three Valleys MWD,10000,6000,200,0
IOU_GS_SSG,Golden State Water Co. - South San Gabriel,USG MWD,3000,4500,30,0
IOU_GS_SW,Golden State Water Co. - Southwest,West Basin MWD,28100,12500,500,0
IOU_PWC,Park Water Company,Central Basin MWD,12800,0,0,362
IOU_SGV,San Gabriel Valley Water Company,USG MWD,39646,10000,2547,0
IOU_SWS_SJH,Suburban Water Systems - San Jose Hills,USG MWD,12300,20000,1400,0
IOU_SWS_WLM,Suburban Water Systems - Whittier/La Miranda ,Central Basin MWD,8000,17500,0,0
IRR_KIN,Kinneloa Irrigation District,Foothill MWD,0,500,0,0
IRR_LAC,La Canada Irrigation District,Foothill MWD,3163,100,0,0
IRR_SMT,South Montebello ,Central Basin MWD,0,1270,0,0
MWC_AMA,Amarillo Mutual Water Company,USG MWD,0,400,0,0
MWC_BLS,Bellflower-Somerset Mutual Water Company,Central Basin MWD,2350,5000,123,0
MWC_CDM,California Domestic Water Company,USG MWD,0,12069,0,0
MWC_COV,Covina Irrigating Company,USG MWD,0,6578,6983,0
MWC_LAV,Lincoln Avenue Water Company,Foothill MWD,2208,2069,0,0
MWC_LFL,Las Flores Water Company,Foothill MWD,780,0,0,0
MWC_MA1,Maywood Mutual Company #1,Central Basin MWD,0,741,0,0
MWC_MCR,Mesa Crest Water Company,Foothill MWD,800,0,0,0
MWC_MON,Montebello Land And Water Company,Central Basin MWD,0,4000,0,0
MWC_RUB,Rubio Canon Land And Water Association,Foothill MWD,730,2000,0,0
MWC_SSL,Sunny Slope Mutual Water Company,USG MWD,0,4300,0,0
MWC_VHT,Valencia Heights Water Company,Three Valleys MWD,0,6578,0,6983
MWC_VWC,Valley Water Company,Foothill MWD,3300,800,0,0
MWD_LVI,Las Virgenes MWD,MWD,21087,0,4522,0
PRV_CEN,Central Basin Private Entities,Central Basin MWD,0,3987,0,0
PRV_COC,Central Basin Oil And Chemical Companies,Central Basin MWD,0,306,0,0
PRV_MOC,MSG Basin Oil And Chemical Companies,USG MWD,0,313,0,0
PRV_MSG,Man San Gabriel Private Pumpers,USG MWD,0,13000,0,0
PRV_RAY,Raymond Basin Private Pumpers,Foothill MWD,0,463,0,0
PRV_SGR,San Gabriel River Water Commission,USG MWD,0,0,0,4000
PRV_WCS,West Coast Basin Private Entities,West Basin MWD,0,5500,0,0
PRV_WMI,WC Basin Municipal and Industrial,West Basin MWD,0,0,15500,0
PRV_WOC,West Basin Oil And Chemical Companies,West Basin MWD,0,8200,0,0
